Filename	Comment	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	Actual	Predicted
repos/libpng-code/contrib/libtests/pngimage.c	name	0.75	0.05	0.05	0.23	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	-0.4418598	0	0
repos/libpng-code/contrib/libtests/pngimage.c	removes the alpha channel if present	3.55	1.25	0.05	1.67	1.25	0.05	0.05	0.41	0.05	0.05	0.05	0.99999994	0.99999994	0.99999994	0.0	0.0	0.0	0.0	2.0	-0.2621409	2	2
repos/libpng-code/contrib/libtests/pngimage.c	problem, antidote	1.45	0.05	0.05	0.23	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.46211717	0.46211717	0.46211717	0.0	0.0	0.0	0.0	2.0	-0.36807665	0	0
repos/libpng-code/contrib/libtests/pngimage.c	See display_log below	1.45	0.05	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.7615942	0.9640276	0.7615942	0.0	0.0	0.0	0.7615942	2.0	-0.28934708	0	0
repos/libpng-code/contrib/libtests/pngimage.c	"Used on a read, both the original read and when validating a written
    * image."	4.95	2.45	0.05	1.85	0.05	3.65	0.05	0.41	0.05	0.05	0.05	0.99975324	0.99999547	0.99975324	0.0	0.0	0.0	0.0	2.0	-0.0033770115	2	2
repos/libpng-code/contrib/libtests/pngimage.c	Data read from the original file	2.85	1.25	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.9640276	0.9866143	0.9866143	0.0	0.0	0.0	0.0	2.0	-0.2621409	2	2
repos/libpng-code/contrib/libtests/pngimage.c	where the file gets written	2.15	0.05	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.7615942	0.9640276	0.7615942	0.0	0.0	0.0	0.0	2.0	-0.28934708	1	1
repos/libpng-code/contrib/libtests/pngimage.c	"Third test: the active options.  Test each in turn, or, with the
    * EXHAUSTIVE option, test all possible combinations."	7.75	0.05	0.05	1.85	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.90514827	0.9640276	0.9866143	0.0	0.0	0.0	0.0	2.0	0.28314647	2	2
repos/libpng-code/contrib/libtests/pngimage.c	last buffer in use	2.15	1.25	0.05	0.23	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.46211717	0.0	0.66403675	0.46211717	0.0	0.0	0.46211717	2.0	-0.34234712	1	1
repos/libpng-code/contrib/libtests/pngimage.c	abort on user or internal error	2.85	2.45	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.0	0.46211717	0.9890274	0.90514827	0.0	0.0	0.0	2.0	-0.2621409	2	2
repos/libpng-code/contrib/libtests/pngimage.c	"List ALL the PNG_TRANSFORM_ macros here.  Check for support using the READ
    * macros; even if the transform is supported on write it cannot be tested
    * without the read support."	13.35	7.25	0.05	2.21	1.25	0.05	0.05	0.41	0.05	0.05	0.05	0.9999092	0.99999994	0.9999877	0.0	0.0	0.0	0.0	2.0	0.8161181	2	2
repos/libpng-code/contrib/libtests/pngimage.c	Move the result to the 'original' fields	2.85	1.25	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.7615942	0.90514827	0.9640276	0.0	0.0	0.0	0.0	2.0	-0.2621409	1	1
repos/libpng-code/contrib/libtests/pngimage.c	"Required to quiet GNUC warnings when the compiler sees a stdarg function
    * that calls one of the stdio v APIs."	9.15	0.05	0.05	1.85	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.0	0.9993293	0.0	0.0	0.0	0.0	0.0	2.0	0.43640822	2	2
repos/libpng-code/contrib/libtests/pngimage.c	"The name, if 't' has multiple bits set the name of the lowest set bit is
    * returned."	7.05	4.85	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.9640276	0.99975324	0.9999092	0.0	0.0	0.0	0.0	2.0	0.41226566	2	2
repos/libpng-code/contrib/libtests/pngimage.c	transforms that should do nothing	2.15	0.05	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.7615942	0.9640276	0.7615942	0.0	0.0	0.0	0.0	2.0	-0.28934708	1	1
repos/libpng-code/contrib/libtests/pngimage.c	"All the chunks from the original PNG should be preserved in the output PNG
    * because the PNG format has not been changed."	6.35	0.05	0.05	0.41	1.25	0.05	0.05	0.41	0.05	0.05	0.05	0.7615942	0.9981779	0.9866143	0.0	0.0	0.0	0.0	2.0	0.56793636	2	2
repos/libpng-code/contrib/libtests/pngimage.c	first set bit	2.15	2.45	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.0	0.46211717	0.9866143	0.0	0.0	0.0	0.0	2.0	-0.34234712	2	2
repos/libpng-code/contrib/libtests/pngimage.c	such as file-not-found	0.75	0.05	0.05	0.23	1.25	0.05	0.05	0.41	0.05	0.05	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	-0.3160937	0	0
repos/libpng-code/contrib/libtests/pngimage.c	"Need the stray bits at the end, this depends only on the low bits
          * of the image width; overflow does not matter.  If the width is an
          * exact multiple of 8 bits this gives a mask of 0, not 0xff."	14.75	2.45	0.05	3.65	1.25	0.05	0.05	0.41	0.05	0.05	0.05	0.90514827	0.9993293	0.9985079	0.7615942	0.0	0.0	0.0	2.0	0.82571864	2	2
repos/libpng-code/contrib/libtests/pngimage.c	"The 'palette' side effect mentioned above; a bit bogus but this is the
       * way the libpng code works."	7.05	0.05	0.05	1.85	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.0	0.90514827	0.46211717	0.0	0.0	0.0	0.0	2.0	0.33637094	2	2
repos/libpng-code/contrib/libtests/pngimage.c	from the original read	1.45	0.05	0.05	0.23	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.9640276	0.9640276	0.9640276	0.0	0.0	0.0	0.0	2.0	-0.41785613	1	1
repos/libpng-code/contrib/libtests/pngimage.c	NOTREACHED	0.75	0.05	0.05	0.23	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.0	0.0	0.46211717	0.0	0.0	0.0	0.0	2.0	-0.39325455	0	0
repos/libpng-code/contrib/libtests/pngimage.c	bytes in the last buffer	2.15	2.45	0.05	0.23	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.7615942	0.0	0.9996986	0.90514827	0.0	0.0	0.46211717	2.0	-0.34234712	2	2
repos/libpng-code/contrib/libtests/pngimage.c	antidote	0.75	0.05	0.05	0.23	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.46211717	0.46211717	0.46211717	0.0	0.0	0.0	0.0	2.0	-0.4418598	0	0
