Filename	Comment	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	Actual	Predicted
libpng/contrib/libtests/pngimage.c/pngimage.c	Test all combinations of active options	2.85	0.05	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.90514827	0.90514827	0.7615942	0.0	0.0	0.0	0.0	2.0	-0.2690481	1	1
libpng/contrib/libtests/pngimage.c/pngimage.c	"Load a buffer from a file; does the equivalent of buffer_start_write.  On a
 * read error returns an errno value, else returns 0."	9.15	8.45	0.05	3.47	0.05	2.45	0.05	0.41	0.05	0.05	0.05	0.99999976	1.0	1.0	0.9866143	0.0	0.0	0.7615942	2.0	0.5434382	1	2
libpng/contrib/libtests/pngimage.c/pngimage.c	"reduces component values to the original range based on the sBIT chunk,
       * this is only partially reversible - the low bits are lost and cannot be
       * recovered on write.  In fact write code replicates the bits to generate
       * new low-order bits."	18.25	7.25	0.05	3.65	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.99999994	1.0	1.0	0.90514827	0.0	0.0	0.0	2.0	0.9139452	1	2
libpng/contrib/libtests/pngimage.c/pngimage.c	set by png_read_png	1.45	0.05	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.9640276	0.9866143	0.9950548	0.0	0.0	0.0	0.7615942	2.0	-0.21532601	1	1
libpng/contrib/libtests/pngimage.c/pngimage.c	"If a transform is valid on both read and write this implies that if the
 * transform is applied to read it must also be applied on write to produce
 * meaningful data.  This is because these transforms when performed on read
 * produce data with a memory format that does not correspond to a PNG format.
 *
 * Most of these transforms are invertible; after applying the transform on
 * write the result is the original PNG data that would have would have been
 * read if no transform were applied.
 *
 * The exception is _SHIFT, which destroys the low order bits marked as not
 * significant in a PNG with the sBIT chunk.
 *
 * The following table lists, for each transform, the conditions under which it
 * is expected to do anything.  Conditions are defined as follows:
 *
 * 1) Color mask bits required - simply a mask to AND with color_type; one of
 *    these must be present for the transform to fire, except that 0 means
 *    'always'.
 * 2) Color mask bits which must be absent - another mask - none of these must
 *    be present.
 * 3) Bit depths - a mask of component bit depths for the transform to fire.
 * 4) 'read' - the transform works in png_read_png.
 * 5) 'write' - the transform works in png_write_png.
 * 6) PNG_INFO_chunk; a mask of the chunks that must be present for the
 *    transform to fire.  All must be present - the requirement is that
 *    png_get_valid() & mask == mask, so if mask is 0 there is no requirement.
 *
 * The condition refers to the original image state - if multiple transforms are
 * used together it is possible to cause a transform that wouldn't fire on the
 * original image to fire."	111.35	33.65	0.05	17.15	2.45	2.45	0.05	0.41	0.05	0.05	0.05	0.99999994	1.0	1.0	0.90514827	0.0	0.0	0.9950548	2.0	1.0	1	2
libpng/contrib/libtests/pngimage.c/pngimage.c	transforms that do something on read	2.85	1.25	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.9950548	0.9993293	0.9950548	0.0	0.0	0.0	0.0	2.0	-0.21532601	1	1
libpng/contrib/libtests/pngimage.c/pngimage.c	transforms applied	1.45	0.05	0.05	0.23	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.46211717	0.7615942	0.46211717	0.0	0.0	0.0	0.0	2.0	-0.3713712	1	0
libpng/contrib/libtests/pngimage.c/pngimage.c	last buffer in use	2.15	1.25	0.05	0.23	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.46211717	0.0	0.66403675	0.46211717	0.0	0.0	0.46211717	2.0	-0.34650722	1	1
libpng/contrib/libtests/pngimage.c/pngimage.c	crazy debugging	1.45	0.05	0.05	0.23	0.05	0.05	0.05	0.41	10.05	0.05	0.05	0.0	0.0	0.5370496	0.7615942	0.0	0.46211717	0.0	2.0	-0.41951263	1	1
libpng/contrib/libtests/pngimage.c/pngimage.c	reset for next time	2.85	3.65	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.7615942	0.90514827	0.997283	0.46211717	0.0	0.0	0.0	2.0	-0.34650722	1	2
libpng/contrib/libtests/pngimage.c/pngimage.c	"The rows should be the same too, unless the applied transforms includes
    * the shift transform, in which case low bits may have been lost."	8.45	1.25	0.05	3.29	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.99999976	1.0	0.99999994	0.0	0.0	0.0	0.0	2.0	0.50196844	1	2
libpng/contrib/libtests/pngimage.c/pngimage.c	Remove the user limits, if any	2.85	1.25	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.99999547	0.99999833	0.99999547	0.0	0.0	0.0	0.0	2.0	-0.29531687	1	1
libpng/contrib/libtests/pngimage.c/pngimage.c	transforms applied	1.45	0.05	0.05	0.23	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.46211717	0.7615942	0.46211717	0.0	0.0	0.0	0.0	2.0	-0.3713712	1	0
libpng/contrib/libtests/pngimage.c/pngimage.c	"And if this is read back in, because all the transformations were
             * reversible, the result should be the same."	4.25	3.65	0.05	0.23	1.25	2.45	0.05	0.41	0.05	0.05	0.05	0.9981779	0.9999666	0.9999092	0.0	0.0	0.0	0.0	2.0	0.066590115	1	2
libpng/contrib/libtests/pngimage.c/pngimage.c	Find the first error	2.15	1.25	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.0	0.46211717	0.946806	0.7615942	0.0	0.0	0.0	2.0	-0.34650722	1	1
libpng/contrib/libtests/pngimage.c/pngimage.c	Operation being performed	1.45	0.05	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.46211717	0.9640276	0.7615942	0.0	0.0	0.0	0.0	2.0	-0.29531687	1	1
libpng/contrib/libtests/pngimage.c/pngimage.c	first set bit	2.15	2.45	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.0	0.46211717	0.9866143	0.0	0.0	0.0	0.0	2.0	-0.34650722	1	2
libpng/contrib/libtests/pngimage.c/pngimage.c	allowed, but dumb	1.45	0.05	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.46211717	0.46211717	0.0	0.0	0.0	0.0	0.0	2.0	-0.41951263	1	0
libpng/contrib/libtests/pngimage.c/pngimage.c	lowest set bit	2.15	1.25	0.05	0.23	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.0	0.46211717	0.90514827	0.0	0.0	0.0	0.0	2.0	-0.34650722	1	2
libpng/contrib/libtests/pngimage.c/pngimage.c	Transform used in operation	2.15	0.05	0.05	0.23	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.46211717	0.7615942	0.7615942	0.0	0.0	0.0	0.0	2.0	-0.29531687	1	1
libpng/contrib/libtests/pngimage.c/pngimage.c	!tested	0.75	0.05	0.05	0.23	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.0	0.46211717	0.0	0.0	0.0	0.0	0.0	2.0	-0.4427485	1	0
libpng/contrib/libtests/pngimage.c/pngimage.c	Replicate 4 times	2.15	0.05	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.0	0.46211717	0.2913126	0.46211717	0.0	0.0	0.0	2.0	-0.3713712	1	1
libpng/contrib/libtests/pngimage.c/pngimage.c	Move to the next buffer:	2.15	2.45	0.05	1.67	0.05	1.25	0.05	0.41	0.05	0.05	0.05	0.90514827	0.90514827	0.9800964	0.46211717	0.0	0.0	0.46211717	2.0	-0.34650722	1	2
libpng/contrib/libtests/pngimage.c/pngimage.c	because png.h did *not* include this	2.15	0.05	0.05	0.23	1.25	0.05	0.05	0.41	0.05	0.05	0.05	0.9999877	0.99999547	0.9999092	0.0	0.0	0.0	0.0	2.0	-0.07588426	1	1
libpng/contrib/libtests/pngimage.c/pngimage.c	"Use unsigned int here because the code below to increment through all
       * the possibilities exhaustively has to use a compare and that must be
       * unsigned, because some transforms are negative on a 16-bit system."	10.55	6.05	0.05	3.47	1.25	0.05	0.05	0.41	0.05	0.05	0.05	0.9981779	0.99999547	0.9999994	0.0	0.0	0.0	0.0	2.0	0.6188859	1	2
libpng/contrib/libtests/pngimage.c/pngimage.c	Does the initial cache of the file.	2.15	0.05	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.9866143	0.9950548	0.997283	0.46211717	0.0	0.0	0.0	2.0	-0.2690481	1	1
libpng/contrib/libtests/pngimage.c/pngimage.c	such as file-not-found	0.75	0.05	0.05	0.23	1.25	0.05	0.05	0.41	0.05	0.05	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	-0.3211466	1	0
libpng/contrib/libtests/pngimage.c/pngimage.c	Here on any return, including failures, except user/internal issues	4.95	2.45	0.05	0.23	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.9999666	0.99999547	0.9999999	0.90514827	0.0	0.46211717	0.0	2.0	0.066590115	1	2
libpng/contrib/libtests/pngimage.c/pngimage.c	"Some combinations of options that should be reversible are not; these cases
 * are bugs."	3.55	0.05	0.05	2.03	0.05	0.05	0.05	0.41	8.05	0.05	0.05	0.9950548	0.9993293	0.9959494	0.7615942	0.0	0.46211717	0.0	2.0	0.094945796	1	2
libpng/contrib/libtests/pngimage.c/pngimage.c	skip	0.75	0.05	0.05	1.67	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.0	0.46211717	0.0	0.0	0.0	0.0	0.0	2.0	-0.4427485	1	0
libpng/contrib/libtests/pngimage.c/pngimage.c	"Generic write function used both from the write callback provided to
    * libpng and from the generic read code."	7.75	2.45	0.05	1.85	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.9866143	0.9999877	0.9950548	0.0	0.0	0.0	0.0	2.0	0.20639981	1	2
libpng/contrib/libtests/pngimage.c/pngimage.c	Helper to test for a bad combo and log it if it is skipped	5.65	2.45	0.05	0.23	1.25	0.05	0.05	0.41	0.05	0.05	0.05	0.9981779	0.99975324	0.9950548	0.0	0.0	0.0	0.0	2.0	-0.01894047	1	2
libpng/contrib/libtests/pngimage.c/pngimage.c	excluding write-only transforms	2.15	0.05	0.05	0.23	0.05	0.05	0.05	0.41	0.05	0.05	0.05	0.7615942	0.90514827	0.7615942	0.0	0.0	0.0	0.0	2.0	-0.2690481	1	1
